,0,1,Author,Book,Date,Genre,Publisher,Year
31,,,Pearl S. Buck,The Good Earth,May 16,fiction,,1932
32,,,Pearl S. Buck,The Good Earth,May 23,fiction,,1932
33,,,Pearl S. Buck,The Good Earth,May 30,fiction,,1932
34,,,Faith Baldwin,District Nurse,June 6,fiction,,1932
35,,,Charles Langbridge Morgan,The Fountain,June 13,fiction,,1932
36,,,Charles Langbridge Morgan,The Fountain,June 20,fiction,,1932
37,,,Charles Langbridge Morgan,The Fountain,June 27,fiction,,1932
38,,,Charles Langbridge Morgan,The Fountain,July 4,fiction,,1932
39,,,Charles Langbridge Morgan,The Fountain,July 11,fiction,,1932
40,,,Charles Langbridge Morgan,The Fountain,July 18,fiction,,1932
41,,,Charles Langbridge Morgan,The Fountain,July 25,fiction,,1932
42,,,Charles Langbridge Morgan,The Fountain,August 1,fiction,,1932
43,,,Charles Langbridge Morgan,The Fountain,August 8,fiction,,1932
44,,,J. B. Priestley,Faraway,August 15,fiction,,1932
45,,,Mazo De La Roche,Lark Ascending,August 22,fiction,,1932
46,,,Charles Langbridge Morgan,The Fountain,August 29,fiction,,1932
47,,,Manuel Komroff,A New York Tempest,September 5,fiction,,1932
48,,,Ellen Glasgow,The Sheltered Life,September 12,fiction,,1932
49,,,Ellen Glasgow,The Sheltered Life,September 19,fiction,,1932
50,,,Ellen Glasgow,The Sheltered Life,September 26,fiction,,1932
51,,,Pearl S. Buck,Sons,October 3,fiction,,1932
52,,,Pearl S. Buck,Sons,October 10,fiction,,1932
53,,,Pearl S. Buck,Sons,October 17,fiction,,1932
54,,,Pearl S. Buck,Sons,October 24,fiction,,1932
55,,,Pearl S. Buck,Sons,October 31,fiction,,1932
56,,,Pearl S. Buck,Sons,November 7,fiction,,1932
57,,,Rosamond Lehmann,Invitation to the Waltz,November 14,fiction,,1932
58,,,John Galsworthy,Flowering Wilderness,November 21,fiction,,1932
59,,,John Galsworthy,Flowering Wilderness,November 28,fiction,,1932
60,,,John Galsworthy,Flowering Wilderness,December 5,fiction,,1932
61,,,John Galsworthy,Flowering Wilderness,December 12,fiction,,1932
62,,,John Galsworthy,Flowering Wilderness,December 19,fiction,,1932
63,,,John Galsworthy,Flowering Wilderness,December 26,fiction,,1932
64,,,John Galsworthy,Flowering Wilderness,January 2,fiction,,1933
65,,,John Galsworthy,Flowering Wilderness,January 9,fiction,,1933
66,,,James Gould Cozzens,The Last Adam,January 16,fiction,,1933
67,,,James Gould Cozzens,The Last Adam,January 23,fiction,,1933
68,,,Sinclair Lewis,Ann Vickers,January 30,fiction,,1933
69,,,Sinclair Lewis,Ann Vickers,February 6,fiction,,1933
70,,,Sinclair Lewis,Ann Vickers,February 13,fiction,,1933
71,,,Sinclair Lewis,Ann Vickers,February 20,fiction,,1933
72,,,Sinclair Lewis,Ann Vickers,February 27,fiction,,1933
73,,,Sinclair Lewis,Ann Vickers,March 6,fiction,,1933
74,,,Sinclair Lewis,Ann Vickers,March 13,fiction,,1933
75,,,Sinclair Lewis,Ann Vickers,March 20,fiction,,1933
76,,,Sinclair Lewis,Ann Vickers,March 27,fiction,,1933
77,,,Sinclair Lewis,Ann Vickers,April 3,fiction,,1933
78,,,Sinclair Lewis,Ann Vickers,April 10,fiction,,1933
79,,,Guy Endore,The Werewolf of Paris,April 17,fiction,,1933
80,,,Thorne Smith,Rain in the Doorway,April 24,fiction,,1933
81,,,Guy Endore,The Werewolf of Paris,May 1,fiction,,1933
82,,,Gladys Hasty Carroll,As the Earth Turns,May 8,fiction,,1933
83,,,Gladys Hasty Carroll,As the Earth Turns,May 15,fiction,,1933
84,,,T. S. Stribling,The Store,May 22,fiction,,1933
85,,,Gladys Hasty Carroll,As the Earth Turns,May 29,fiction,,1933
86,,,Gladys Hasty Carroll,As the Earth Turns,June 5,fiction,,1933
87,,,Hans Fallada,"Little Man, What Now?",June 12,fiction,,1933
88,,,Hans Fallada,"Little Man, What Now?",June 19,fiction,,1933
89,,,Hans Fallada,"Little Man, What Now?",June 26,fiction,,1933
90,,,Hervey Allen,Anthony Adverse,July 3,fiction,,1933
91,,,Hervey Allen,Anthony Adverse,July 10,fiction,,1933
92,,,Hervey Allen,Anthony Adverse,July 16,fiction,,1933
93,,,Hervey Allen,Anthony Adverse,July 24,fiction,,1933
94,,,Hervey Allen,Anthony Adverse,July 31,fiction,,1933
95,,,Hervey Allen,Anthony Adverse,August 7,fiction,,1933
96,,,Hervey Allen,Anthony Adverse,August 14,fiction,,1933
97,,,Hervey Allen,Anthony Adverse,August 21,fiction,,1933
98,,,Hervey Allen,Anthony Adverse,August 28,fiction,,1933
99,,,Hervey Allen,Anthony Adverse,September 4,fiction,,1933
100,,,Hervey Allen,Anthony Adverse,September 11,fiction,,1933
101,,,Hervey Allen,Anthony Adverse,September 18,fiction,,1933
102,,,Hervey Allen,Anthony Adverse,September 25,fiction,,1933
103,,,Hervey Allen,Anthony Adverse,October 2,fiction,,1933
104,,,Hervey Allen,Anthony Adverse,October 9,fiction,,1933
105,,,Hervey Allen,Anthony Adverse,October 16,fiction,,1933
106,,,Hervey Allen,Anthony Adverse,October 23,fiction,,1933
107,,,Hervey Allen,Anthony Adverse,October 30,fiction,,1933
108,,,Hervey Allen,Anthony Adverse,November 6,fiction,,1933
109,,,Hervey Allen,Anthony Adverse,November 13,fiction,,1933
110,,,Hervey Allen,Anthony Adverse,November 20,fiction,,1933
111,,,Hervey Allen,Anthony Adverse,November 27,fiction,,1933
112,,,Hervey Allen,Anthony Adverse,December 4,fiction,,1933
113,,,Hervey Allen,Anthony Adverse,December 11,fiction,,1933
114,,,Hervey Allen,Anthony Adverse,December 18,fiction,,1933
115,,,,,December 25,fiction,,1933
116,,,Hervey Allen,Anthony Adverse,January 1,fiction,,1934
117,,,Hervey Allen,Anthony Adverse,January 8,fiction,,1934
118,,,Dashiell Hammett,The Thin Man,January 15,fiction,,1934
119,,,Dashiell Hammett,The Thin Man,January 22,fiction,,1934
120,,,Dashiell Hammett,The Thin Man,January 29,fiction,,1934
121,,,Sinclair Lewis,Work of Art,February 5,fiction,,1934
122,,,Sinclair Lewis,Work of Art,February 12,fiction,,1934
123,,,Sinclair Lewis,Work of Art,February 19,fiction,,1934
124,,,Sinclair Lewis,Work of Art,February 26,fiction,,1934
125,,,Sinclair Lewis,Work of Art,March 5,fiction,,1934
126,,,Sinclair Lewis,Work of Art,March 12,fiction,,1934
127,,,Sinclair Lewis,Work of Art,March 19,fiction,,1934
128,,,Hervey Allen,Anthony Adverse,March 26,fiction,,1934
129,,,Lion Feuchtwanger,The Oppermanns,April 2,fiction,,1934
130,,,Lion Feuchtwanger,The Oppermanns,April 9,fiction,,1934
131,,,Hervey Allen,Anthony Adverse,April 16,fiction,,1934
132,,,Hervey Allen,Anthony Adverse,April 23,fiction,,1934
133,,,Isak Dinesen,Seven Gothic Tales,April 30,fiction,,1934
134,,,F. Scott Fitzgerald,Tender is the Night,May 7,fiction,,1934
135,,,Hervey Allen,Anthony Adverse,May 14,fiction,,1934
136,,,Caroline Miller,Lamb in His Bosom,May 21,fiction,,1934
137,,,Louis Golding,Five Silver Daughters,May 28,fiction,,1934
138,,,Caroline Miller,Lamb in His Bosom,June 5,fiction,,1934
139,,,Caroline Miller,Lamb in His Bosom,June 11,fiction,,1934
140,,,Caroline Miller,Lamb in His Bosom,June 18,fiction,,1934
141,,,Caroline Miller,Lamb in His Bosom,June 25,fiction,,1934
142,,,Caroline Miller,Lamb in His Bosom,July 2,fiction,,1934
143,,,Caroline Miller,Lamb in His Bosom,July 9,fiction,,1934
144,,,Caroline Miller,Lamb in His Bosom,July 16,fiction,,1934
145,,,Robert Graves,"I, Claudius",July 23,fiction,,1934
146,,,Hervey Allen,Anthony Adverse,July 30,fiction,,1934
147,,,Stark Young,So Red the Rose,August 6,fiction,,1934
148,,,Stark Young,So Red the Rose,August 13,fiction,,1934
149,,,Stark Young,So Red the Rose,August 20,fiction,,1934
150,,,Stark Young,So Red the Rose,August 27,fiction,,1934
151,,,Stark Young,So Red the Rose,September 3,fiction,,1934
152,,,Stark Young,So Red the Rose,September 10,fiction,,1934
153,,,Stark Young,So Red the Rose,September 17,fiction,,1934
154,,,Stark Young,So Red the Rose,September 24,fiction,,1934
155,,,Stark Young,So Red the Rose,October 1,fiction,,1934
156,,,Stark Young,So Red the Rose,October 8,fiction,,1934
157,,,Stark Young,So Red the Rose,October 15,fiction,,1934
158,,,Stark Young,So Red the Rose,October 22,fiction,,1934
159,,,Stark Young,So Red the Rose,October 29,fiction,,1934
160,,,Stark Young,So Red the Rose,November 5,fiction,,1934
161,,,Stark Young,So Red the Rose,November 12,fiction,,1934
162,,,Stark Young,So Red the Rose,November 19,fiction,,1934
163,,,Stark Young,So Red the Rose,November 26,fiction,,1934
164,,,Hervey Allen,Lost Horizon,December 3,fiction,,1934
165,,,Franz Werfel,The Forty Days of Musa Dagh,December 10,fiction,,1934
166,,,Franz Werfel,The Forty Days of Musa Dagh,December 17,fiction,,1934
167,,,Franz Werfel,The Forty Days of Musa Dagh,December 23,fiction,,1934
168,,,Franz Werfel,The Forty Days of Musa Dagh,December 30,fiction,,1934
169,,,Franz Werfel,The Forty Days of Musa Dagh,January 7,fiction,,1935
170,,,Franz Werfel,The Forty Days of Musa Dagh,January 14,fiction,,1935
171,,,Thornton Wilder,Heaven's My Destination,January 21,fiction,,1935
172,,,Thornton Wilder,Heaven's My Destination,January 28,fiction,,1935
173,,,Thornton Wilder,Heaven's My Destination,February 4,fiction,,1935
174,,,Thornton Wilder,Heaven's My Destination,February 11,fiction,,1935
175,,,Thornton Wilder,Heaven's My Destination,February 18,fiction,,1935
176,,,Thornton Wilder,Heaven's My Destination,February 25,fiction,,1935
177,,,Edna Ferber,Come and Get It,March 4,fiction,,1935
178,,,Edna Ferber,Come and Get It,March 11,fiction,,1935
179,,,Thomas Wolfe,Of Time and the River,March 18,fiction,,1935
180,,,Thomas Wolfe,Of Time and the River,March 25,fiction,,1935
181,,,Edna Ferber,Come and Get It,April 1,fiction,,1935
182,,,Thomas Wolfe,Of Time and the River,April 8,fiction,,1935
183,,,Thomas Wolfe,Of Time and the River,April 15,fiction,,1935
184,,,Thomas Wolfe,Of Time and the River,April 22,fiction,,1935
185,,,Lloyd C. Douglas,Green Light,April 29,fiction,,1935
186,,,Thomas Wolfe,Of Time and the River,May 6,fiction,,1935
187,,,Thomas Wolfe,Of Time and the River,May 13,fiction,,1935
188,,,Josephine Johnson,Now in November,May 20,fiction,,1935
189,,,Josephine Johnson,Now in November,May 27,fiction,,1935
190,,,Josephine Johnson,Now in November,June 3,fiction,,1935
191,,,Mazo De La Roche,Young Renny,June 10,fiction,,1935
192,,,Humphrey Cobb,Paths of Glory,June 17,fiction,,1935
193,,,Humphrey Cobb,Paths of Glory,June 24,fiction,,1935
194,,,Humphrey Cobb,Paths of Glory,July 1,fiction,,1935
195,,,Humphrey Cobb,Paths of Glory,July 8,fiction,,1935
196,,,Humphrey Cobb,Paths of Glory,July 15,fiction,,1935
197,,,Humphrey Cobb,Paths of Glory,July 22,fiction,,1935
198,,,Lloyd C. Douglas,Green Light,July 29,fiction,,1935
199,,,Lloyd C. Douglas,Green Light,August 5,fiction,,1935
200,,,Willa Cather,Lucy Gayheart,August 12,fiction,,1935
201,,,Willa Cather,Lucy Gayheart,August 19,fiction,,1935
202,,,Willa Cather,Lucy Gayheart,August 26,fiction,,1935
203,,,Willa Cather,Lucy Gayheart,September 2,fiction,,1935
204,,,Ellen Glasgow,Vein of Iron,September 9,fiction,,1935
205,,,Ellen Glasgow,Vein of Iron,September 16,fiction,,1935
206,,,Robert Briffault,Europa,September 23,fiction,,1935
207,,,Robert Briffault,Europa,September 30,fiction,,1935
208,,,Robert Briffault,Europa,October 7,fiction,,1935
209,,,Robert Briffault,Europa,October 14,fiction,,1935
210,,,Robert Briffault,Europa,October 21,fiction,,1935
211,,,Robert Briffault,Europa,October 28,fiction,,1935
212,,,Sinclair Lewis,It Can't Happen Here,November 4,fiction,,1935
213,,,Robert Briffault,Europa,November 11,fiction,,1935
214,,,Robert Briffault,Europa,November 18,fiction,,1935
215,,,Robert Briffault,Europa,November 25,fiction,,1935
216,,,Sinclair Lewis,It Can't Happen Here,December 2,fiction,,1935
217,,,Sinclair Lewis,It Can't Happen Here,December 9,fiction,,1935
218,,,Sinclair Lewis,It Can't Happen Here,December 16,fiction,,1935
219,,,Sinclair Lewis,It Can't Happen Here,December 23,fiction,,1935
220,,,Sinclair Lewis,It Can't Happen Here,December 30,fiction,,1935
221,,,Sinclair Lewis,It Can't Happen Here,January 6,fiction,,1936
222,,,Sinclair Lewis,It Can't Happen Here,January 13,fiction,,1936
223,,,Josephine Lawrence,If I Have Four Apples,January 20,fiction,,1936
224,,,Josephine Lawrence,If I Have Four Apples,January 27,fiction,,1936
225,,,Josephine Lawrence,If I Have Four Apples,February 3,fiction,,1936
226,,,George Santayana,The Last Puritan,February 10,fiction,,1936
227,,,George Santayana,The Last Puritan,February 17,fiction,,1936
228,,,George Santayana,The Last Puritan,February 24,fiction,,1936
229,,,George Santayana,The Last Puritan,March 2,fiction,,1936
230,,,George Santayana,The Last Puritan,March 9,fiction,,1936
231,,,George Santayana,The Last Puritan,March 16,fiction,,1936
232,,,George Santayana,The Last Puritan,March 23,fiction,,1936
233,,,George Santayana,The Last Puritan,March 30,fiction,,1936
234,,,George Santayana,The Last Puritan,April 6,fiction,,1936
235,,,George Santayana,The Last Puritan,April 13,fiction,,1936
236,,,George Santayana,The Last Puritan,April 20,fiction,,1936
237,,,Charles Langbridge Morgan,Sparkenbroke,April 27,fiction,,1936
238,,,Charles Langbridge Morgan,Sparkenbroke,May 4,fiction,,1936
239,,,Charles Langbridge Morgan,Sparkenbroke,May 11,fiction,,1936
240,,,Charles Langbridge Morgan,Sparkenbroke,May 18,fiction,,1936
241,,,Charles Langbridge Morgan,Sparkenbroke,May 25,fiction,,1936
242,,,Rosamond Lehmann,The Weather in the Streets,June 1,fiction,,1936
243,,,Mary Roberts Rinehart,The Doctor,June 8,fiction,,1936
244,,,Mary Roberts Rinehart,The Doctor,June 15,fiction,,1936
245,,,Mary Roberts Rinehart,The Doctor,June 22,fiction,,1936
246,,,Mary Roberts Rinehart,The Doctor,June 29,fiction,,1936
247,,,Vincent Sheean,Sanfelice,July 6,fiction,,1936
248,,,Margaret Mitchell,Gone with the Wind,July 13,fiction,,1936
249,,,Margaret Mitchell,Gone with the Wind,July 20,fiction,,1936
250,,,Margaret Mitchell,Gone with the Wind,July 27,fiction,,1936
251,,,Margaret Mitchell,Gone with the Wind,August 3,fiction,,1936
252,,,Margaret Mitchell,Gone with the Wind,August 10,fiction,,1936
253,,,Margaret Mitchell,Gone with the Wind,August 17,fiction,,1936
254,,,Margaret Mitchell,Gone with the Wind,August 24,fiction,,1936
255,,,Margaret Mitchell,Gone with the Wind,August 31,fiction,,1936
256,,,Margaret Mitchell,Gone with the Wind,September 7,fiction,,1936
257,,,Margaret Mitchell,Gone with the Wind,September 14,fiction,,1936
258,,,Margaret Mitchell,Gone with the Wind,September 21,fiction,,1936
259,,,Margaret Mitchell,Gone with the Wind,September 28,fiction,,1936
260,,,Margaret Mitchell,Gone with the Wind,October 5,fiction,,1936
261,,,Margaret Mitchell,Gone with the Wind,October 12,fiction,,1936
262,,,Margaret Mitchell,Gone with the Wind,October 19,fiction,,1936
263,,,Margaret Mitchell,Gone with the Wind,October 26,fiction,,1936
264,,,Margaret Mitchell,Gone with the Wind,November 2,fiction,,1936
265,,,Margaret Mitchell,Gone with the Wind,November 9,fiction,,1936
266,,,Margaret Mitchell,Gone with the Wind,November 16,fiction,,1936
267,,,Margaret Mitchell,Gone with the Wind,November 23,fiction,,1936
268,,,Margaret Mitchell,Gone with the Wind,November 30,fiction,,1936
269,,,Margaret Mitchell,Gone with the Wind,December 7,fiction,,1936
270,,,Margaret Mitchell,Gone with the Wind,December 14,fiction,,1936
271,,,Margaret Mitchell,Gone with the Wind,December 21,fiction,,1936
272,,,Margaret Mitchell,Gone with the Wind,December 28,fiction,,1936
273,,,Margaret Mitchell,Gone with the Wind,January 4,fiction,,1937
274,,,Margaret Mitchell,Gone with the Wind,January 11,fiction,,1937
275,,,Margaret Mitchell,Gone with the Wind,January 18,fiction,,1937
276,,,Margaret Mitchell,Gone with the Wind,January 25,fiction,,1937
277,,,Margaret Mitchell,Gone with the Wind,February 1,fiction,,1937
278,,,Margaret Mitchell,Gone with the Wind,February 8,fiction,,1937
279,,,Margaret Mitchell,Gone with the Wind,February 15,fiction,,1937
280,,,Walter D. Edmonds,Drums Along the Mohawk,February 22,fiction,,1937
281,,,Walter D. Edmonds,Drums Along the Mohawk,March 1,fiction,,1937
282,,,Margaret Mitchell,Gone with the Wind,March 8,fiction,,1937
283,,,Walter D. Edmonds,Drums Along the Mohawk,March 15,fiction,,1937
284,,,Somerset Maugham,Theatre,March 22,fiction,,1937
285,,,Somerset Maugham,Theatre,March 29,fiction,,1937
286,,,Walter D. Edmonds,Drums Along the Mohawk,April 5,fiction,,1937
287,,,Somerset Maugham,Theatre,April 12,fiction,,1937
288,,,Somerset Maugham,Theatre,April 19,fiction,,1937
289,,,Somerset Maugham,Theatre,April 26,fiction,,1937
290,,,Virginia Woolf,The Years,May 3,fiction,,1937
291,,,Virginia Woolf,The Years,May 10,fiction,,1937
292,,,Millen Brand,The Outward Room,May 17,fiction,,1937
293,,,Millen Brand,The Outward Room,May 24,fiction,,1937
294,,,Virginia Woolf,The Years,May 31,fiction,,1937
295,,,Millen Brand,The Outward Room,June 7,fiction,,1937
296,,,Millen Brand,The Outward Room,June 14,fiction,,1937
297,,,Millen Brand,The Outward Room,June 21,fiction,,1937
298,,,Millen Brand,The Outward Room,June 28,fiction,,1937
299,,,Millen Brand,The Outward Room,July 5,fiction,,1937
300,,,Virginia Woolf,The Years,July 12,fiction,,1937
301,,,Kenneth Roberts,Northwest Passage,July 19,fiction,,1937
302,,,Kenneth Roberts,Northwest Passage,July 26,fiction,,1937
303,,,Kenneth Roberts,Northwest Passage,August 2,fiction,,1937
304,,,Kenneth Roberts,Northwest Passage,August 9,fiction,,1937
305,,,Kenneth Roberts,Northwest Passage,August 16,fiction,,1937
306,,,Kenneth Roberts,Northwest Passage,August 23,fiction,,1937
307,,,Kenneth Roberts,Northwest Passage,August 30,fiction,,1937
308,,,Kenneth Roberts,Northwest Passage,September 6,fiction,,1937
309,,,Kenneth Roberts,Northwest Passage,September 13,fiction,,1937
310,,,Kenneth Roberts,Northwest Passage,September 20,fiction,,1937
311,,,Kenneth Roberts,Northwest Passage,September 27,fiction,,1937
312,,,A. J. Cronin,The Citadel,October 4,fiction,,1937
313,,,Kenneth Roberts,Northwest Passage,October 11,fiction,,1937
314,,,Kenneth Roberts,Northwest Passage,October 18,fiction,,1937
315,,,Kenneth Roberts,Northwest Passage,October 25,fiction,,1937
316,,,A. J. Cronin,The Citadel,November 1,fiction,,1937
317,,,A. J. Cronin,The Citadel,November 8,fiction,,1937
318,,,A. J. Cronin,The Citadel,November 15,fiction,,1937
319,,,Kenneth Roberts,Northwest Passage,November 22,fiction,,1937
320,,,A. J. Cronin,The Citadel,November 29,fiction,,1937
321,,,A. J. Cronin,The Citadel,December 6,fiction,,1937
322,,,A. J. Cronin,The Citadel,December 13,fiction,,1937
323,,,A. J. Cronin,The Citadel,December 20,fiction,,1937
324,,,A. J. Cronin,The Citadel,December 27,fiction,,1937
325,,,A. J. Cronin,The Citadel,January 3,fiction,,1938
326,,,A. J. Cronin,The Citadel,January 10,fiction,,1938
327,,,A. J. Cronin,The Citadel,January 17,fiction,,1938
328,,,A. J. Cronin,The Citadel,January 24,fiction,,1938
329,,,A. J. Cronin,The Citadel,January 31,fiction,,1938
330,,,Sinclair Lewis,The Prodigal Parents,February 7,fiction,,1938
331,,,A. J. Cronin,The Citadel,February 14,fiction,,1938
332,,,A. J. Cronin,The Citadel,February 21,fiction,,1938
333,,,A. J. Cronin,The Citadel,February 28,fiction,,1938
334,,,A. J. Cronin,The Citadel,March 7,fiction,,1938
335,,,A. J. Cronin,The Citadel,March 14,fiction,,1938
336,,,Hervey Allen,Action at Aquila,March 21,fiction,,1938
337,,,A. J. Cronin,The Citadel,March 28,fiction,,1938
338,,,Hervey Allen,Action at Aquila,April 4,fiction,,1938
339,,,A. J. Cronin,The Citadel,April 11,fiction,,1938
340,,,A. J. Cronin,The Citadel,April 18,fiction,,1938
341,,,A. J. Cronin,The Citadel,April 25,fiction,,1938
342,,,A. J. Cronin,The Citadel,May 2,fiction,,1938
343,,,A. J. Cronin,The Citadel,May 9,fiction,,1938
344,,,Marjorie Kinnan Rawlings,The Yearling,May 16,fiction,,1938
345,,,Marjorie Kinnan Rawlings,The Yearling,May 23,fiction,,1938
346,,,Marjorie Kinnan Rawlings,The Yearling,May 30,fiction,,1938
347,,,Marjorie Kinnan Rawlings,The Yearling,June 6,fiction,,1938
348,,,Marjorie Kinnan Rawlings,The Yearling,June 13,fiction,,1938
349,,,Marjorie Kinnan Rawlings,The Yearling,June 20,fiction,,1938
350,,,Marjorie Kinnan Rawlings,The Yearling,June 27,fiction,,1938
351,,,Marjorie Kinnan Rawlings,The Yearling,July 4,fiction,,1938
352,,,Howard Spring,"My Son, My Son!",July 11,fiction,,1938
353,,,Howard Spring,"My Son, My Son!",July 18,fiction,,1938
354,,,Howard Spring,"My Son, My Son!",July 25,fiction,,1938
355,,,Howard Spring,"My Son, My Son!",August 1,fiction,,1938
356,,,Howard Spring,"My Son, My Son!",August 8,fiction,,1938
357,,,Howard Spring,"My Son, My Son!",August 15,fiction,,1938
358,,,Howard Spring,"My Son, My Son!",August 22,fiction,,1938
359,,,Marjorie Kinnan Rawlings,The Yearling,August 29,fiction,,1938
360,,,Marjorie Kinnan Rawlings,The Yearling,September 5,fiction,,1938
361,,,Marjorie Kinnan Rawlings,The Yearling,September 12,fiction,,1938
362,,,Marjorie Kinnan Rawlings,The Yearling,September 19,fiction,,1938
363,,,Howard Spring,"My Son, My Son!",September 26,fiction,,1938
364,,,Howard Spring,"My Son, My Son!",October 3,fiction,,1938
365,,,Howard Spring,"My Son, My Son!",October 10,fiction,,1938
366,,,Howard Spring,"My Son, My Son!",October 17,fiction,,1938
367,,,Daphne du Maurier,Rebecca,October 24,fiction,,1938
368,,,Daphne du Maurier,Rebecca,October 31,fiction,,1938
369,,,Daphne du Maurier,Rebecca,November 7,fiction,,1938
370,,,Daphne du Maurier,Rebecca,November 14,fiction,,1938
371,,,Daphne du Maurier,Rebecca,November 21,fiction,,1938
372,,,Rachel Field,All This and Heaven Too,November 28,fiction,,1938
373,,,Daphne du Maurier,Rebecca,December 5,fiction,,1938
374,,,Daphne du Maurier,Rebecca,December 12,fiction,,1938
375,,,Daphne du Maurier,Rebecca,December 19,fiction,,1938
376,,,Rachel Field,All This and Heaven Too,December 26,fiction,,1938
377,,,Rachel Field,All This and Heaven Too,January 2,fiction,,1939
378,,,Daphne Du Maurier,Rebecca,January 9,fiction,,1939
379,,,Rachel Field,All This and Heaven Too,January 16,fiction,,1939
380,,,Rachel Field,All This and Heaven Too,January 23,fiction,,1939
381,,,Rachel Field,All This and Heaven Too,January 30,fiction,,1939
382,,,Rachel Field,All This and Heaven Too,February 6,fiction,,1939
383,,,Rachel Field,All This and Heaven Too,February 13,fiction,,1939
384,,,Rachel Field,All This and Heaven Too,February 10,fiction,,1939
385,,,Rachel Field,All This and Heaven Too,February 27,fiction,,1939
386,,,Rachel Field,All This and Heaven Too,March 6,fiction,,1939
387,,,Rachel Field,All This and Heaven Too,March 13,fiction,,1939
388,,,Rachel Field,All This and Heaven Too,March 20,fiction,,1939
389,,,Rachel Field,All This and Heaven Too,March 27,fiction,,1939
390,,,John P. Marquand,Wickford Point,April 3,fiction,,1939
391,,,Rachel Field,All This and Heaven Too,April 10,fiction,,1939
392,,,Rachel Field,All This and Heaven Too,April 17,fiction,,1939
393,,,John P. Marquand,Wickford Point,April 24,fiction,,1939
394,,,John Steinbeck,The Grapes of Wrath,May 1,fiction,,1939
395,,,John Steinbeck,The Grapes of Wrath,May 8,fiction,,1939
396,,,John Steinbeck,The Grapes of Wrath,May 15,fiction,,1939
397,,,John Steinbeck,The Grapes of Wrath,May 22,fiction,,1939
398,,,John Steinbeck,The Grapes of Wrath,May 29,fiction,,1939
399,,,John Steinbeck,The Grapes of Wrath,June 5,fiction,,1939
400,,,John Steinbeck,The Grapes of Wrath,June 12,fiction,,1939
401,,,John Steinbeck,The Grapes of Wrath,June 19,fiction,,1939
402,,,John Steinbeck,The Grapes of Wrath,June 26,fiction,,1939
403,,,John Steinbeck,The Grapes of Wrath,July 3,fiction,,1939
404,,,John Steinbeck,The Grapes of Wrath,July 10,fiction,,1939
405,,,John Steinbeck,The Grapes of Wrath,July 17,fiction,,1939
406,,,John Steinbeck,The Grapes of Wrath,July 24,fiction,,1939
407,,,John Steinbeck,The Grapes of Wrath,July 31,fiction,,1939
408,,,John Steinbeck,The Grapes of Wrath,August 7,fiction,,1939
409,,,John Steinbeck,The Grapes of Wrath,August 14,fiction,,1939
410,,,John Steinbeck,The Grapes of Wrath,August 21,fiction,,1939
411,,,John Steinbeck,The Grapes of Wrath,August 28,fiction,,1939
412,,,John Steinbeck,The Grapes of Wrath,September 4,fiction,,1939
413,,,John Steinbeck,The Grapes of Wrath,September 11,fiction,,1939
414,,,John Steinbeck,The Grapes of Wrath,September 18,fiction,,1939
415,,,John Steinbeck,The Grapes of Wrath,September 25,fiction,,1939
416,,,John Steinbeck,The Grapes of Wrath,October 2,fiction,,1939
417,,,Ethel Vance,Escape,October 9,fiction,,1939
418,,,John Steinbeck,The Grapes of Wrath,October 16,fiction,,1939
